split,scenario_token,teacher_improvement,material_positive,catastrophe,K,proposal_action,rsmr_accept,rsmr_post_value,quality_accept,quality_post_value,plan_control_accept,plan_control_post_value,ego_ref_accept,ego_ref_post_value,sign_nomult_accept,sign_nomult_post_value,sign_mult_accept,sign_mult_post_value,mult_minus_nomult_accept
B,564f407829275357,0.0013155343568760358,0,0,30,20,1,0.0,1,0.0490108221432838,1,0.09511719075052129,1,0.1741575687420419,1,1.3750757209582212,1,1.8327575309540718,0
B,56af4c5614115b65,-0.00018593805283308043,0,0,22,1,1,0.0,1,0.1385725343108058,1,0.1385725343108058,1,0.1919689575197,1,1.2828943038679943,1,1.628118059190045,0
B,57e25595d16a50cf,0.0,0,0,11,18,1,0.0,0,-0.1278229772757025,0,-0.1278229772757025,0,-0.1278229772757025,1,0.10562684392692201,0,-0.38886471985321625,-1
B,5eb6634f24555ce0,0.00012660958215127138,0,0,18,3,1,0.0,1,0.09435358709779174,1,0.13020454652122662,1,0.08707694088709003,1,0.3753488522813754,1,0.5194227712096228,0
B,63a3109909a05325,-3.861344816104978e-05,0,0,21,23,1,0.0,1,0.4059118219300049,0,-0.22022943512498666,0,-0.08268574848254456,1,1.4282576479458766,1,1.3622293474925864,0
B,659d181ef87e5388,9.543879888940232e-05,0,0,26,18,1,0.0,0,-0.03155597147276806,0,-0.04001147619731389,0,-0.08218800867594876,0,-0.038645528062490664,1,0.5642419701762894,1
B,6a36265e4a6e59fc,-0.0005120796682778206,0,0,27,25,1,0.0,0,-0.08176116153554541,0,-0.051185416650376306,0,-0.05065832238705564,1,0.2950069754239141,1,0.4445760482844445,0
B,70a69d4ab95f5177,-4.553225859999649e-05,0,0,21,22,1,0.0,0,-0.054388928773691725,0,-0.03562808099175692,0,-0.0363842369849475,1,0.3304528279159187,1,0.3131106444764794,0
B,727f40b053895e1d,0.0,0,0,15,21,1,0.0,0,-0.09484232442660356,0,-0.09484232442660356,0,-0.09484232442660356,1,0.1920148218163028,0,-0.47167481468232597,-1
B,73eee9915324572a,0.0,0,0,31,20,1,0.0,0,-0.008520911061245001,0,-0.008520911061245001,0,-0.008520911061245001,1,0.4181210903400451,1,0.7339756096514931,0
B,74211d0e2b9f5b8c,-0.00024828358236694825,0,0,22,16,1,0.0,0,-0.02191498944907763,1,0.03639127202512826,1,0.03654396319149045,1,0.5064429911153456,1,0.014003826817467147,0
B,771893d6d5705c46,-0.00021028001904488391,0,0,24,23,1,0.0,0,-0.06334955028417347,0,-0.24343692143924167,0,-0.2241316533912515,1,0.07093929110954567,1,0.3974254473661152,0
B,7a6c9c397be65ef2,0.0,0,0,15,22,1,0.0,0,-0.1100226229785976,0,-0.1100226229785976,0,-0.1100226229785976,1,0.152252258544312,0,-0.7488021544372128,-1
B,7e9c41504f4054a3,0.00840530595206701,0,0,17,10,1,0.0,1,0.20882834552137822,1,0.2691628511589236,1,0.2694419631475509,1,1.1162216004297014,1,0.45088427786534235,0
B,804ed2bde0ac524b,0.0,0,0,30,20,1,0.0,0,-0.024976161087671974,0,-0.024976161087671974,0,-0.024976161087671974,1,0.3750189788702887,1,0.8778098543577013,0
B,81c16d7cf92852e5,0.0,0,0,21,17,1,0.0,0,-0.03431494322231161,0,-0.03431494322231161,0,-0.03431494322231161,1,0.3505574101969131,1,0.18237055100224142,0
B,831a416d435f5f2a,0.00112672513826384,0,0,19,6,1,0.0,1,0.4761636696318058,1,0.9719602362057793,1,0.9834091622776742,1,2.82818782835448,1,2.869282710777266,0
B,83521b5e452c583c,0.00018796835206469353,0,0,27,23,1,0.0,1,0.013182221211849246,1,0.01024901019488261,0,-0.00992301803814141,1,0.2876914318448961,1,0.6865873127062638,0
B,847813fc9a965226,-0.0001434389896690846,0,0,30,1,1,0.0,0,-0.06752850530707961,1,0.03991580988749058,1,0.14748790958300795,1,1.45440408591535,1,1.8712278027207931,0
B,85d5b90db6eb52fa,0.0037533805332146605,0,0,18,1,1,0.0,1,0.016903681915605172,0,-0.02806996847054649,0,-0.009243324990721051,1,0.5596450325603903,1,0.4205623893206152,0
B,885cc1ad604652d8,-0.0009093783363234246,0,0,30,17,1,0.0,0,-0.10659207102019969,0,-0.14675771085076714,1,0.016644255609874953,1,1.5444713019998626,1,1.4315203522664448,0
B,8afdca566fe255d3,0.0,0,0,18,23,1,0.0,0,-0.03856367867026635,0,-0.03856367867026635,0,-0.03856367867026635,1,0.33942847149411937,0,-0.5629082191997703,-1
B,8fe8610b98675d1b,0.0007005367354437908,0,0,19,4,1,0.0,1,0.06850567073375868,1,0.044248418320233115,1,0.044017695736965755,1,0.5670388322866796,1,0.9492963980510134,0
B,90c5cde5df155150,8.98302416899241e-05,0,0,14,20,1,0.0,0,-0.12728063377956672,0,-0.12737029595114138,0,-0.10079034098337337,1,0.3455396272792559,0,-0.38097631575116564,-1
B,90dcc945cdb456d0,2.576884327800199,1,0,16,6,1,0.0,1,0.1318784013826171,1,0.1350350352239741,1,0.13265772045695653,1,0.7711357299237189,1,0.9217690099416618,0
B,92d72a355aee5a32,7.069968131836503e-05,0,0,13,23,1,0.0,1,0.005672139659446522,0,-0.11526635865052591,0,-0.13035921932439823,1,0.06664499374842037,1,0.24068548694083913,0
B,94f497a302325bfd,0.00010227884268387832,0,0,29,19,1,0.0,0,-0.025739707404508656,0,-0.02530062675710024,1,0.022881887725887,1,0.8066022001327343,1,1.2455045756466268,0
B,97ca868eb2985f69,0.00013910153927281562,0,0,18,0,1,0.0,0,-0.05648012709158449,0,-0.06162046637594705,0,-0.04541281732322517,1,0.427279996244605,1,0.023248356357034483,0
B,99d84eb39f4455e8,0.013315708337724209,0,0,28,22,1,0.0,1,0.19582728693410698,1,0.20806284302576297,1,0.2290278372208704,1,1.1672493549482514,1,1.5897110482960999,0
B,9ab61ede877a5777,-0.0005499392535535108,0,0,6,22,1,0.0,0,-0.1278188564021873,0,-0.22770155315280394,0,-0.21771718125629747,0,-0.01375955437228038,0,-0.40868137869510246,0
B,a4e1c931fd9e589d,0.0,0,0,28,19,1,0.0,1,0.01118986879237637,1,0.01118986879237637,1,0.01118986879237637,1,0.46975058421234783,1,1.0228885838826645,0
B,a72be570581e592f,9.288905582616365e-06,0,0,30,7,1,0.0,0,-0.04009464835296572,0,-0.2339379869571799,0,-0.2562335811580415,0,-0.27050205676681394,1,0.36929787064750397,1
B,a9d40f7ad47b5e97,-8.10933299399963e-07,0,0,15,11,1,0.0,0,-0.024682847339237885,0,-0.02351745444949791,0,-0.023494043808015633,1,0.3784366508328535,0,-0.9303621111258187,-1
B,aa92de950c9959ca,5.259555531722526e-05,0,0,27,20,1,0.0,1,0.01359151355752406,1,0.052107057866549664,1,0.034416943724808906,1,0.39780230029419594,1,0.9959455529270208,0
B,ac95102a0c6b5a5c,2.1014530253696257,1,0,14,19,1,0.0,1,0.6814552676483479,1,1.4195498933093886,1,1.547939358769484,1,4.9231374279343525,1,4.568766502581552,0
B,ad31b2f18d3253d8,0.0012823742919376713,0,0,16,0,1,0.0,0,-0.015592345073361547,0,-0.028197076528396054,1,0.012353860931565756,1,0.7373518924679421,1,0.8774121975261496,0
B,aea2656a586d5ec9,1.7737669951498507,1,0,18,18,1,0.0,1,0.3268151036699743,1,0.30963948744933256,1,0.31018242649309935,1,1.265411526801336,1,1.297219645094882,0
B,af54d9e79d6c5e29,0.0008459108211109623,0,0,29,2,1,0.0,0,-0.06898592182155652,1,0.07929830759961465,1,0.09280772339580101,1,0.6914101575620307,1,1.0878234169340242,0
B,affd71fa68e855f3,1.5958218251977119,1,0,10,25,1,0.0,0,-0.05358651631198191,1,0.7067443625086247,1,0.7205068282620801,1,2.0150283615108338,1,1.9489159061598063,0
B,b1daf9a088f75ecc,5.8073964714910886e-05,0,0,24,17,1,0.0,0,-0.03205982861774601,1,0.013424217460617664,1,0.01744774393551557,1,0.48779218187330464,1,0.6761449726801703,0
B,b510ffd4f8e45d43,-2.576806145370954e-05,0,0,30,18,1,0.0,1,0.05822729495929162,0,-0.04752268819111566,1,0.05364182648040781,1,1.2800505953611627,1,1.6301166297292329,0
B,b61e989f3aa1559e,-0.013568610285148441,0,0,4,7,1,0.0,0,-0.32364640456921,1,0.03212677819942339,0,-0.034742847147797906,0,-0.2631418172661186,0,-0.7368783283152278,0
B,bc1f7501d13b5aa3,0.0007624268025159253,0,0,26,19,1,0.0,1,0.13262703056937425,1,0.15655072416094332,1,0.12945261000173733,1,0.594576758100291,1,0.3994578492292008,0
B,bd73062438cc5d7d,-7.896602600809821e-05,0,0,17,7,1,0.0,0,-0.05259455428573993,0,-0.05279577578599956,0,-0.05277063073246375,1,0.30248129251544864,1,0.5812267186628861,0
B,bded7bad07695542,-6.40717230737664e-05,0,0,25,30,1,0.0,1,0.06947942567236323,1,0.060464151272759684,1,0.057561581018160946,1,0.5774984211832863,1,0.21650365134441518,0
B,be15314fe9dd5c65,-0.00035257100686431064,0,0,18,9,1,0.0,0,-0.06552650892357922,0,-0.36629875302883375,0,-0.31676667493113353,1,0.08407196023585117,1,0.29606116088573464,0
B,bf830798460557a1,0.0004158175837249978,0,0,18,3,1,0.0,0,-0.06345548700765255,0,-0.06493377848371111,1,0.044142581664949845,1,1.250606293935978,1,1.3426860913607688,0
B,c2458beee2cb5960,-1.8720616596468176e-05,0,0,8,24,1,0.0,0,-0.3508456169439432,0,-0.23525842421197296,0,-0.23311461952216883,0,-0.21737431038236177,0,-0.37643672785760685,0
B,c56c5d12317658c1,-0.0001962871921714392,0,0,22,23,1,0.0,0,-0.0845801949027529,0,-0.07170468175913879,0,-0.042398728522250705,1,0.5090018097335012,1,0.3510269053368993,0
B,c5af51a421195228,0.0,0,0,21,3,1,0.0,0,-0.0446577327438398,0,-0.0446577327438398,0,-0.0446577327438398,1,0.32346599158284195,1,0.6755001644047323,0
B,c71886cc34e955cd,-0.0007148527365177879,0,0,26,23,1,0.0,0,-0.09269328192100466,1,0.19097184407646767,1,0.21191563177665135,1,0.9794218734538689,1,1.303363198733917,0
B,c737859a7fd655eb,-0.00022625266653631543,0,0,26,24,1,0.0,0,-0.01642625152574969,1,0.26242981915851343,1,0.2998388435499923,1,1.316979626044072,1,1.5265651491793184,0
B,c82c5a1a65c85cf5,-2.2451035678384447e-06,0,0,18,23,1,0.0,0,-0.04337114752134751,0,-0.04303405079438058,0,-0.043032491359413325,1,0.3275555570459654,1,0.15955244395905976,0
B,c9a3da25280f5c73,0.0007420609395951041,0,0,26,20,1,0.0,0,-0.1002463053358388,0,-0.23355129756213183,0,-0.23416797654343902,0,-0.1066841294408698,0,-0.017185086931100768,0
B,cd8984960fd75abe,5.4303699731583777e-05,0,0,6,21,1,0.0,0,-0.0769943196285397,0,-0.1671632590128725,0,-0.16645210235563368,1,0.056428051422435566,0,-0.3165669610279511,-1
B,d028a85f30615d96,0.0002730165308923461,0,0,31,20,1,0.0,0,-0.01423807208895507,1,0.015486160257216428,1,0.07520903279591969,1,1.001651546993566,1,1.2780701178113245,0
B,d180b84136485d24,-0.00011401586717774137,0,0,29,19,1,0.0,1,0.02686940625493766,1,0.05447865244332919,1,0.14530640312778828,1,1.384212180702534,1,1.6156036152461013,0
B,d18242110ded580e,0.12748895863071086,0,0,5,0,1,0.0,1,0.8204222857542779,1,1.076207898998397,1,1.0961256462381312,1,3.3036288817035153,1,1.9510632887995931,0
B,d4a11efcd1ee5734,0.001809692610055258,0,0,15,1,1,0.0,0,-0.008657323873733858,0,-0.021035234255110082,1,0.027238642285399677,1,0.8253415253186156,1,0.5406290497048694,0
B,d5c9b0e4956c57b6,6.567727476358416e-05,0,0,18,28,1,0.0,0,-0.023494409204166435,1,0.0025600518670922424,0,-0.007550433908264112,1,0.34264295118827126,1,0.646986937747664,0
B,d76bab0f8d7d521a,-4.485031962397912e-05,0,0,28,22,1,0.0,0,-0.018017762348375068,0,-0.005891536829384446,1,0.005582534998201213,1,0.5216592405179739,1,0.8467438623657726,0
B,daa6af28f8f05cf1,0.0002474565289913855,0,0,27,11,1,0.0,0,-0.02300350848612775,1,0.04617099544940309,1,0.15099407902403808,1,1.46624700419151,1,1.7990087076149075,0
B,dac75042c07a57c0,-0.929471255149922,0,1,25,25,1,0.0,0,-0.02286641676086411,1,0.015324945440959956,1,0.05510653316564047,1,0.8177058779091848,1,1.1725348274144167,0
B,dc6b715bba8c567a,-2.6732132956385716e-05,0,0,16,2,1,0.0,0,-0.017363490868095428,1,0.2232533538254494,1,0.23111306776582335,1,0.9691464697501553,1,0.7997230071612724,0
B,ded8004def37555a,-0.929121662644883,0,1,23,22,1,0.0,1,0.34615973723825705,1,0.8075224775146163,1,0.8988621639563457,1,3.132986418641724,1,3.039159330055104,0
B,df57085ef0af51d5,-2.6786089874830665e-05,0,0,29,21,1,0.0,1,0.0008024747511658882,0,-0.008424154617331567,1,0.019759196350859383,1,0.6763089206505336,1,1.110727703391939,0
B,e2563b9260ac558f,-0.00010571607053289078,0,0,25,21,1,0.0,0,-0.005453206940171331,1,0.2816824788375154,1,0.30071175112645165,1,1.1980065367120218,1,1.7023685055243205,0
B,e6529741db7e53e3,6.006250381473954e-05,0,0,24,17,1,0.0,0,-0.034698365028537764,1,0.017698617300960152,1,0.02191388111878214,1,0.49707139360474645,1,0.6855260168167465,0
B,ea2d96dda6f1527f,0.0,0,0,27,24,1,0.0,1,0.0006356180328056184,1,0.0006356180328056184,1,0.0006356180328056184,1,0.4421052739321516,1,0.6361010882169352,0
B,ee72b2f74ac15d69,-0.9294550249450522,0,1,31,24,1,0.0,0,-0.11926861978400026,0,-0.18298839039855597,0,-0.1790546475978907,1,0.0299924932925677,1,0.6617158127037426,0
B,f09e9c04f44758ac,-1.2556615176958614,0,1,5,4,1,0.0,0,-0.1440335996653965,0,-0.14388827168881949,0,-0.21983787907264435,0,-0.6185345485051299,0,-1.1001664604951087,0
B,f630380d2cc5527d,-7.045645639358611e-06,0,0,15,10,1,0.0,0,-0.05191273508001165,0,-0.0474375184212749,0,-0.046427039639475184,1,0.32290296575411925,0,-0.04424854327826089,-1
B,fd49d49dadc35ccd,0.0,0,0,22,19,1,0.0,0,-0.03381121249322718,0,-0.03381121249322718,0,-0.03381121249322718,1,0.35187685888355524,0,-0.14430167623162715,-1
B,fe538593f25153eb,1.5660960227315002e-05,0,0,19,3,1,0.0,0,-0.02105938258963978,0,-0.012693433085956973,1,0.06796427837324794,1,1.127069830134338,1,1.2869053646262523,0
B,fec1a125e16a5e29,0.0001622399517904327,0,0,13,1,1,0.0,0,-0.03780125368480468,0,-0.1138418915440139,0,-0.12856136312111077,1,0.050096654344129465,0,-0.8227731685766317,-1
